variant_stem,building,scenario,etasje,PF,PF_norm,ground_andel,roof_andel,sum_check,Dg_in,Dr_in,M_floor_kg_m2,M_wall_kg_m2
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,Kjeller,39.9006,0.711249,0.988736,0.011264,1,0.03842565,0.00043776647,202,450
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,1. etasje,10.0822,0.17972,0.989368,0.010632,1,0.19131609,0.0020559745,202,450
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,2. etasje,37.8016,0.673832,0.889934,0.110066,1,0.081842502,0.010122171,202,450
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,3. etasje,56.0994,1,0.371772,0.628228,1,0.031135179,0.052612778,202,450
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,4. etasje,18.1835,0.324131,0.050418,0.949582,1,0.016160371,0.30436935,202,450
mur_stubbloft,Murbygg | stubbloft bevart,Kjellervindu 40x60 cm,5. etasje,2.6356,0.046981,0.003051,0.996949,1,0.0081933457,2.6771997,202,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,Kjeller,14.2062,1,0.352028,0.647972,1,0.03842565,0.070729487,62,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,1. etasje,6.0833,0.428214,0.596954,0.403046,1,0.19131609,0.12917103,62,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,2. etasje,8.4058,0.591705,0.399226,0.600774,1,0.1651079,0.24846248,62,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,3. etasje,7.5805,0.533605,0.194955,0.805045,1,0.12082852,0.49894945,62,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,4. etasje,5.0607,0.356236,0.072106,0.927894,1,0.083043674,1.0686385,62,450
mur_mineralull,Murbygg | full utskifting + mineralull,Kjellervindu 40x60 cm,5. etasje,2.5842,0.181907,0.022487,0.977513,1,0.061587889,2.6771997,62,450
